,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
0,https://kream.co.kr/products/25283?fetchRelated=true,8705,Nike,Nike SB Dunk Low Pro Chicago,나이키 SB 덩크 로우 프로 시카고,17000,1646,-,BQ6817-600,-,Varsity Red/White-Varsity Red-Black
1,https://kream.co.kr/products/69540?fetchRelated=true,3723,Nike,Nike SB Dunk Low Pro Premium Deep Royal Blue,나이키 SB 덩크 로우 프로 프리미엄 딥 로얄 블루,11000,264,"139,000원",DO9395-400,22/07/26,Deep Royal Blue/White/Sport Red/Gum Light Brown
2,https://kream.co.kr/products/35432?fetchRelated=true,3112,Nike,Nike SB Dunk Low Pro Black and Classic Green,나이키 SB 덩크 로우 프로 블랙 앤 클래식 그린,8876,383,"149,000원",BQ6817-302,21/06/03,Classic Green/Black/White/Classic Green
3,https://kream.co.kr/products/23498?fetchRelated=true,2698,Nike,Nike x Travis Scott SB Dunk Low,나이키 x 트래비스 스캇 SB 덩크 로우,7782,2040,"179,000원",CT5053-001,20/02/29,Black/Black-Parachute Beige-Petra Brown
4,https://kream.co.kr/products/28071?fetchRelated=true,4465,Nike,Nike SB Dunk Low Pro Court Purple,나이키 SB 덩크 로우 프로 코트 퍼플,7565,605,"149,000원",BQ6817-500,21/01/31,Court Purple/White-Court Purple-Black
5,https://kream.co.kr/products/27295?fetchRelated=true,1932,Nike,Nike x Sean Cliver SB Dunk Low Holiday Special,나이키 x 션 클리버 SB 덩크 로우 홀리데이 스페셜,4563,453,"129,000원",DC9936-100,20/12/19,Ice Blue/White-Metallic Gold-Metallic Silver
6,https://kream.co.kr/products/83266?fetchRelated=true,2751,Nike,Nike x Why So Sad? SB Dunk Low Pro Coastal Blue,나이키 x 와이 쏘 새드? SB 덩크 로우 프로 코스탈 블루,4399,212,"139,000원",DX5549-400,22/11/10,Coastal Blue/Coastal Blue/Light Blue
7,https://kream.co.kr/products/195149?fetchRelated=true,871,Nike,Nike x Tightbooth SB Dunk Low Pro Black and White,나이키 x 타이트부스 SB 덩크 로우 프로 블랙 앤 화이트,4270,101,"159,000원",FD2629-100,23/11/11,White/Black/Safety Orange
8,https://kream.co.kr/products/89169?fetchRelated=true,1612,Nike,Nike SB Dunk Low Sandy,나이키 SB 덩크 로우 샌디,4218,183,"149,000원",FD8777-100,22/12/17,White/Hyper Royal/Mean Green
9,https://kream.co.kr/products/108600?fetchRelated=true,804,Nike,Nike x Fly Streetwear SB Dunk Low Pro Gardenia,나이키 x 플라이 스트릿웨어 SB 덩크 로우 프로 가데니아,4217,52,"159,000원",DQ5130-400,23/03/23,Game Royal/Sail/Grey Fog
