,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
0,https://kream.co.kr/products/25283?fetchRelated=true,8703,Nike,Nike SB Dunk Low Pro Chicago,나이키 SB 덩크 로우 프로 시카고,17000,1646,-,BQ6817-600,-,Varsity Red/White-Varsity Red-Black
1,https://kream.co.kr/products/341669?fetchRelated=true,258,Nike,Nike x Verdy SB Dunk Low Pro Blue Gaze and Enamel Green,나이키 x 베르디 SB 덩크 로우 프로 블루 게이즈 앤 에나멜 그린,1539,53,"159,000원",FN6040-400,24/09/05,Blue/Green/Pink
2,https://kream.co.kr/products/323780?fetchRelated=true,511,Nike,Nike x There SB Dunk Low Pro Anthracite and Gorge Green,나이키 x 데어 SB 덩크 로우 프로 앤트러사이트 앤 골지 그린,1395,61,"159,000원",HF7743-001,24/08/02,Black/Gorge Green/Summit White
3,https://kream.co.kr/products/23498?fetchRelated=true,2698,Nike,Nike x Travis Scott SB Dunk Low,나이키 x 트래비스 스캇 SB 덩크 로우,7781,2040,"179,000원",CT5053-001,20/02/29,Black/Black-Parachute Beige-Petra Brown
4,https://kream.co.kr/products/187551?fetchRelated=true,952,Nike,Nike SB Dunk Low Pro Wheat 2023,나이키 SB 덩크 로우 프로 위트 2023,4188,136,"149,000원",BQ6817-204,23/10/25,Flax/Flax/Flax/Baroque Brown
5,https://kream.co.kr/products/271745?fetchRelated=true,568,Nike,Nike SB Dunk Low Pro Phantom and Hyper Royal,나이키 SB 덩크 로우 프로 팬텀 앤 하이퍼 로얄,2224,120,"149,000원",HF3704-001,24/04/03,Phantom/Hyper Royal/Malachite
6,https://kream.co.kr/products/233484?fetchRelated=true,413,Nike,Nike SB Dunk Low PRM Burgundy Crush,나이키 SB 덩크 로우 프리미엄 버건디 크러쉬,2361,60,"149,000원",FN0619-600,24/02/08,Burgundy Crush/Dark Team Red/Earth
7,https://kream.co.kr/products/35432?fetchRelated=true,3111,Nike,Nike SB Dunk Low Pro Black and Classic Green,나이키 SB 덩크 로우 프로 블랙 앤 클래식 그린,8875,383,"149,000원",BQ6817-302,21/06/03,Classic Green/Black/White/Classic Green
8,https://kream.co.kr/products/28071?fetchRelated=true,4464,Nike,Nike SB Dunk Low Pro Court Purple,나이키 SB 덩크 로우 프로 코트 퍼플,7564,605,"149,000원",BQ6817-500,21/01/31,Court Purple/White-Court Purple-Black
9,https://kream.co.kr/products/196156?fetchRelated=true,782,Nike,Nike x April Skateboards SB Dunk Low Pro QS Racer Blue Metallic Silver,나이키 x 에이프릴 스케이트보드 SB 덩크 로우 프로 QS 레이서 블루 메탈릭 실버,3527,88,"159,000원",FD2562-400,23/11/27,Racer Blue/Metallic Silver/White
10,https://kream.co.kr/products/335955?fetchRelated=true,53,Nike,Nike x Alexis Sablone SB Dunk Low Pro White and Pacific Moss,나이키 x 알렉시스 사블론 SB 덩크 로우 프로 화이트 앤 퍼시픽 모스,440,22,"159,000원",HJ3386-300,24/08/29,Oil Green/Desert Moss/White
11,https://kream.co.kr/products/287503?fetchRelated=true,548,Nike,Nike x Futura Laboratories SB Dunk Low OG QS White and Geode Teal,나이키 x 퓨추라 래버러토리 SB 덩크 로우 OG QS 화이트 앤 지오드 틸,1462,48,"159,000원",HF6061-400,24/05/15,Bleached Aqua/Geode Teal/White
12,https://kream.co.kr/products/121302?fetchRelated=true,1252,Nike,Nike x Jarritos SB Dunk Low Phantom and Malachite,나이키 x 하리토스 SB 덩크 로우 팬텀 앤 말라카이트,3933,98,"159,000원",FD0860-001,23/05/10,Phantom/Safety Orange/Malachite
13,https://kream.co.kr/products/96539?fetchRelated=true,700,Nike,Nike SB Dunk Low Pro Black White,나이키 SB 덩크 로우 프로 블랙 화이트,1643,53,"139,000원",CD2563-006,23/01/19,Black/White/Black
14,https://kream.co.kr/products/252673?fetchRelated=true,1223,Nike,Nike x Rayssa Leal SB Dunk Low PRM Pure Platinum Vivid Purple,나이키 x 레이사 릴 SB 덩크 로우 프리미엄 퓨어 플래티넘 비비드 퍼플,1796,88,"149,000원",FZ5251-001,24/03/19,Pure Platinum/Vivid Purple/Deep Royal Blue
15,https://kream.co.kr/products/272912?fetchRelated=true,738,Nike,Nike SB Dunk Low Pro Big Money Saving,나이키 SB 덩크 로우 프로 빅 머니 세이빙,1394,57,"149,000원",FZ3129-200,24/04/10,Baroque Brown/Summit White/Sanddrift
16,https://kream.co.kr/products/83266?fetchRelated=true,2751,Nike,Nike x Why So Sad? SB Dunk Low Pro Coastal Blue,나이키 x 와이 쏘 새드? SB 덩크 로우 프로 코스탈 블루,4399,212,"139,000원",DX5549-400,22/11/10,Coastal Blue/Coastal Blue/Light Blue
17,https://kream.co.kr/products/332284?fetchRelated=true,12,Nike,Nike SB Dunk Low Pro Triple White,나이키 SB 덩크 로우 프로 트리플 화이트,140,8,"139,000원",FJ1674-100,24/08/28,White/White/White/White
18,https://kream.co.kr/products/233483?fetchRelated=true,574,Nike,Nike SB Dunk Low PRM Coconut Milk,나이키 SB 덩크 로우 프리미엄 코코넛 밀크,3207,30,"149,000원",FZ5654-100,24/02/08,Coconut Milk/Light Bone/Phantom
19,https://kream.co.kr/products/342458?fetchRelated=true,22,Nike,(TD) Nike x Verdy SB Dunk Low Pro Blue Gaze and Enamel Green,(TD) 나이키 x 베르디 SB 덩크 로우 프로 블루 게이즈 앤 에나멜 그린,73,3,"99,000원",FZ7194-400,24/09/05,Blue/Green/Pink
20,https://kream.co.kr/products/170155?fetchRelated=true,1246,Nike,Nike x Supreme SB Dunk Low QS Rammellzee Black,나이키 x 슈프림 SB 덩크 로우 QS 라멜지 블랙,3119,220,"$138 (약 180,800원)",FD8778-001,23/08/31,Black/Black/Multi Color
21,https://kream.co.kr/products/46121?fetchRelated=true,1026,Nike,Nike SB Dunk Low Pro Black Cool Grey,나이키 SB 덩크 로우 프로 블랙 쿨 그레이,3466,98,"149,000원",BQ6817-010,22/01/11,Black/Cool Grey-Black-Black
22,https://kream.co.kr/products/327172?fetchRelated=true,109,Nike,Nike SB Dunk Low Pro Electric Phantom and Black,나이키 SB 덩크 로우 프로 일렉트릭 팬텀 앤 블랙,451,43,"159,000원",FZ1233-002,24/08/09,Phantom/Black/Monarch/Summit White/Chlorine Blue
