,거래일,옵션,거래가,빠른배송
0,24/09/28,235(4.5Y),"219,000원",False
1,24/09/28,235(4.5Y),"215,000원",False
2,24/09/28,235(4.5Y),"214,000원",False
3,24/09/26,240(5.5Y),"277,000원",False
4,24/09/24,245(6.5Y),"255,000원",False
5,24/09/24,240(6Y·W),"245,000원",False
6,24/09/24,230(4Y),"199,000원",False
7,24/09/21,240(6Y·W),"209,000원",False
8,24/09/20,240(6Y·W),"249,000원",False
9,24/09/20,245(6.5Y),"260,000원",True
10,24/09/20,235(4.5Y),"214,000원",False
11,24/09/19,250(7Y),"284,000원",False
12,24/09/18,225(3.5Y),"179,000원",False
13,24/09/17,225(3.5Y),"175,000원",False
14,24/09/11,235(4.5Y),"214,000원",False
15,24/09/10,235(4.5Y),"214,000원",False
16,24/09/08,240(6Y·W),"254,000원",False
17,24/09/05,235(4.5Y),"179,000원",False
18,24/09/05,235(4.5Y),"190,000원",False
19,24/09/04,240(6Y·W),"250,000원",False
20,24/09/03,240(6Y·W),"255,000원",False
21,24/09/03,250(7Y),"277,000원",False
22,24/09/03,250(7Y),"289,000원",False
23,24/09/03,245(6.5Y),"252,000원",False
24,24/09/02,250(7Y),"280,000원",False
25,24/09/02,225(3.5Y),"179,000원",False
26,24/09/02,250(7Y),"279,000원",False
27,24/08/29,245(6.5Y),"270,000원",False
28,24/08/28,230(4Y),"249,000원",True
29,24/08/27,235(4.5Y),"216,000원",False
30,24/08/27,235(4.5Y),"215,000원",False
31,24/08/27,240(6Y·W),"250,000원",False
32,24/08/27,240(6Y·W),"249,000원",False
33,24/08/27,240(6Y·W),"245,000원",False
34,24/08/27,250(7Y),"279,000원",False
35,24/08/26,235(4.5Y),"215,000원",True
36,24/08/26,240(6Y·W),"260,000원",True
37,24/08/23,225(3.5Y),"150,000원",False
38,24/08/22,235(4.5Y),"215,000원",False
39,24/08/20,230(4Y),"201,000원",False
40,24/08/20,240(5.5Y),"240,000원",True
41,24/08/19,250(7Y),"280,000원",False
42,24/08/19,250(7Y),"279,000원",False
43,24/08/19,240(6Y·W),"259,000원",False
44,24/08/19,240(6Y·W),"252,000원",False
45,24/08/19,240(6Y·W),"252,000원",False
46,24/08/19,235(4.5Y),"219,000원",False
47,24/08/19,235(4.5Y),"219,000원",False
48,24/08/19,235(4.5Y),"218,000원",False
49,24/08/19,235(4.5Y),"210,000원",False
