,거래일,옵션,거래가,빠른배송
0,24/09/24,190,"150,000원",False
1,24/09/22,220,"179,000원",False
2,24/09/19,220,"175,000원",False
3,24/09/10,210,"175,000원",False
4,24/09/04,220,"156,000원",False
5,24/08/29,200,"120,000원",False
6,24/08/25,190,"110,000원",True
7,24/08/22,210,"158,000원",False
8,24/08/22,200,"115,000원",False
9,24/08/18,220,"155,000원",False
10,24/08/18,190,"120,000원",False
11,24/08/17,200,"130,000원",False
12,24/08/17,210,"151,000원",False
13,24/08/16,190,"159,000원",False
14,24/08/12,200,"178,000원",False
15,24/07/24,185,"179,000원",False
16,24/07/24,220,"167,000원",False
17,24/07/24,210,"160,000원",False
18,24/07/24,190,"164,000원",False
19,24/07/14,170,"175,000원",False
20,24/07/09,210,"164,000원",False
21,24/06/28,205,"189,000원",False
22,24/06/15,210,"172,000원",False
23,24/06/08,180,"239,000원",False
24,24/06/05,205,"188,000원",False
25,24/06/02,190,"175,000원",False
26,24/05/27,220,"160,000원",False
27,24/05/20,180,"200,000원",False
28,24/05/19,170,"170,000원",False
29,24/05/15,180,"180,000원",False
30,24/05/14,200,"178,000원",False
31,24/05/14,200,"175,000원",False
32,24/05/13,200,"173,000원",False
33,24/05/10,170,"150,000원",False
34,24/05/03,180,"160,000원",False
35,24/05/03,170,"165,000원",False
36,24/05/02,215,"208,000원",False
37,24/04/30,215,"207,000원",False
38,24/04/27,180,"145,000원",False
39,24/04/24,220,"170,000원",False
40,24/04/18,220,"170,000원",False
41,24/04/17,200,"155,000원",False
42,24/04/17,200,"138,000원",False
43,24/04/15,205,"150,000원",False
44,24/03/28,190,"190,000원",True
45,24/03/27,165,"165,000원",False
46,24/03/18,210,"185,000원",False
47,24/03/18,210,"184,000원",False
48,24/03/18,210,"179,000원",False
49,24/03/18,200,"199,000원",False
50,24/03/18,200,"175,000원",False
51,24/03/18,200,"170,000원",False
52,24/03/18,200,"169,000원",False
53,24/03/18,200,"165,000원",False
54,24/03/18,190,"179,000원",False
55,24/03/18,190,"177,000원",False
56,24/03/18,190,"176,000원",False
57,24/03/13,190,"167,000원",False
58,24/03/09,190,"165,000원",False
59,24/03/09,180,"170,000원",False
60,24/03/08,185,"197,000원",False
61,24/03/06,210,"170,000원",False
62,24/03/05,210,"169,000원",False
63,24/03/03,170,"188,000원",False
64,24/03/01,220,"178,000원",False
65,24/02/28,220,"175,000원",False
66,24/02/28,200,"169,000원",False
67,24/02/28,195,"170,000원",False
68,24/02/27,200,"160,000원",False
69,24/02/17,200,"198,000원",True
70,24/02/16,215,"172,000원",False
71,24/02/11,220,"174,000원",False
72,24/02/09,190,"166,000원",False
73,24/01/31,220,"174,000원",False
74,24/01/24,190,"155,000원",False
75,24/01/23,170,"160,000원",False
76,24/01/16,190,"132,000원",False
77,24/01/16,210,"175,000원",False
78,24/01/15,210,"174,000원",False
79,24/01/11,215,"170,000원",False
80,24/01/10,180,"180,000원",False
81,24/01/09,200,"175,000원",True
82,24/01/06,205,"170,000원",False
83,24/01/05,205,"169,000원",False
84,24/01/02,200,"160,000원",False
85,24/01/01,210,"170,000원",False
86,23/12/27,210,"169,000원",False
87,23/12/25,190,"160,000원",False
88,23/12/23,210,"144,000원",False
89,23/12/20,215,"185,000원",True
90,23/12/18,215,"170,000원",False
91,23/12/18,220,"178,000원",False
92,23/12/18,220,"165,000원",False
93,23/12/15,220,"174,000원",False
94,23/12/14,220,"170,000원",False
95,23/12/14,220,"150,000원",False
96,23/12/13,200,"162,000원",False
97,23/12/12,190,"170,000원",False
98,23/12/12,220,"168,000원",False
99,23/12/10,170,"179,000원",False
100,23/12/10,210,"135,000원",False
101,23/12/08,200,"159,000원",False
102,23/12/05,205,"144,000원",False
103,23/11/29,200,"169,000원",True
104,23/11/29,220,"162,000원",False
105,23/11/27,210,"180,000원",True
106,23/11/27,170,"174,000원",True
107,23/11/24,200,"169,000원",True
108,23/11/24,220,"140,000원",False
109,23/11/23,165,"170,000원",False
110,23/11/22,165,"170,000원",False
111,23/11/22,200,"168,000원",False
112,23/11/22,200,"165,000원",False
113,23/11/22,195,"170,000원",False
114,23/11/22,195,"160,000원",False
115,23/11/22,190,"153,000원",True
116,23/11/22,180,"178,000원",False
117,23/11/22,180,"175,000원",False
118,23/11/22,170,"173,000원",False
119,23/11/22,170,"165,000원",False
120,23/11/18,190,"149,000원",False
121,23/11/17,190,"145,000원",False
122,23/11/14,165,"185,000원",False
123,23/11/14,190,"148,000원",False
124,23/11/12,210,"169,000원",False
125,23/11/11,200,"148,000원",False
126,23/11/07,205,"130,000원",False
127,23/11/05,200,"148,000원",True
128,23/10/24,200,"139,000원",False
129,23/10/23,220,"159,000원",False
130,23/10/23,210,"169,000원",False
131,23/10/23,200,"138,000원",False
132,23/10/23,200,"137,000원",False
133,23/10/23,190,"149,000원",False
134,23/10/23,190,"145,000원",False
135,23/10/23,180,"150,000원",False
136,23/10/23,180,"149,000원",False
137,23/10/22,200,"136,000원",False
138,23/10/21,210,"165,000원",False
139,23/10/20,180,"150,000원",False
140,23/10/18,180,"144,000원",False
141,23/10/18,210,"156,000원",False
142,23/10/16,180,"121,000원",False
143,23/10/15,210,"155,000원",False
144,23/10/15,170,"150,000원",False
145,23/10/14,170,"148,000원",False
