,거래일,옵션,거래가,빠른배송
0,24/09/23,130,"164,000원",False
1,24/09/23,110,"109,000원",False
2,24/09/19,130,"159,000원",False
3,24/09/15,160,"140,000원",False
4,24/09/14,90,"110,000원",False
5,24/09/13,130,"151,000원",False
6,24/09/11,110,"120,000원",False
7,24/09/05,160,"169,000원",True
8,24/09/03,120,"160,000원",False
9,24/09/02,100,"90,000원",False
10,24/09/01,120,"159,000원",False
11,24/09/01,80,"142,000원",False
12,24/08/31,110,"115,000원",False
13,24/08/31,130,"168,000원",False
14,24/08/30,150,"177,000원",False
15,24/08/25,140,"170,000원",False
16,24/08/23,140,"159,000원",False
17,24/08/22,110,"100,000원",False
18,24/08/18,110,"109,000원",False
19,24/08/15,80,"128,000원",False
20,24/08/13,110,"113,000원",False
21,24/08/06,140,"148,000원",False
22,24/08/06,90,"113,000원",False
23,24/07/27,100,"99,000원",False
24,24/07/22,90,"98,000원",False
25,24/07/19,80,"130,000원",False
26,24/07/17,160,"150,000원",False
27,24/07/14,120,"195,000원",False
28,24/07/09,150,"141,000원",False
29,24/07/05,120,"112,000원",False
30,24/07/04,130,"179,000원",False
31,24/07/03,140,"145,000원",False
32,24/07/03,120,"145,000원",False
33,24/06/30,150,"145,000원",False
34,24/06/28,100,"115,000원",False
35,24/06/26,160,"149,000원",False
36,24/06/25,80,"125,000원",False
37,24/06/25,130,"164,000원",False
38,24/06/25,80,"115,000원",False
39,24/06/16,90,"187,000원",False
40,24/06/13,130,"160,000원",False
41,24/06/13,90,"110,000원",False
42,24/06/05,150,"183,000원",False
43,24/06/05,150,"169,000원",False
44,24/06/05,120,"155,000원",True
45,24/06/01,160,"177,000원",False
46,24/05/31,120,"145,000원",False
47,24/05/22,150,"194,000원",True
48,24/05/21,120,"140,000원",False
49,24/05/20,160,"140,000원",False
50,24/05/15,150,"188,000원",False
51,24/05/14,130,"151,000원",False
52,24/05/11,110,"118,000원",False
53,24/05/08,110,"118,000원",False
54,24/05/08,80,"120,000원",False
55,24/05/06,150,"157,000원",True
56,24/05/04,120,"140,000원",False
57,24/05/03,140,"223,000원",True
58,24/05/03,130,"149,000원",False
59,24/05/02,80,"130,000원",False
60,24/05/02,80,"125,000원",False
61,24/04/30,130,"150,000원",False
62,24/04/29,130,"150,000원",False
63,24/04/27,160,"140,000원",False
64,24/04/26,150,"158,000원",False
65,24/04/26,100,"108,000원",False
66,24/04/25,150,"149,000원",False
67,24/04/21,150,"161,000원",False
68,24/04/19,110,"115,000원",False
69,24/04/19,150,"190,000원",True
70,24/04/17,140,"160,000원",False
71,24/04/14,140,"167,000원",False
72,24/04/13,120,"140,000원",False
73,24/04/11,160,"155,000원",False
74,24/04/11,140,"166,000원",False
75,24/04/11,150,"135,000원",False
76,24/04/11,160,"140,000원",False
77,24/04/10,160,"140,000원",False
78,24/04/10,160,"140,000원",False
79,24/04/09,100,"113,000원",False
80,24/04/08,160,"185,000원",True
81,24/04/02,140,"169,000원",False
