,거래일,옵션,거래가,빠른배송
0,24/09/30,US 7W,"145,000원",False
1,24/09/30,US 6W,"137,000원",False
2,24/09/30,US 7W,"145,000원",False
3,24/09/29,US 6W,"136,000원",False
4,24/09/29,US 7W,"144,000원",False
5,24/09/29,US 6W,"136,000원",False
6,24/09/29,US 6W,"120,000원",False
7,24/09/29,US 7W,"145,000원",False
8,24/09/29,US 6W,"136,000원",False
9,24/09/28,US 8W,"137,000원",False
10,24/09/28,US 6W,"125,000원",False
11,24/09/28,US 6W,"135,000원",False
12,24/09/27,US 8W,"137,000원",False
13,24/09/27,US 9W,"158,000원",False
14,24/09/27,US 6W,"136,000원",False
15,24/09/26,US 8W,"136,000원",False
16,24/09/26,US 8W,"135,000원",False
17,24/09/26,US 7W,"190,000원",True
18,24/09/25,US 7W,"148,000원",False
19,24/09/24,US 8W,"135,000원",False
20,24/09/24,US 7W,"148,000원",False
21,24/09/24,US 7W,"148,000원",False
22,24/09/24,US 7W,"147,000원",False
23,24/09/24,US 8W,"136,000원",False
24,24/09/23,US 6W,"137,000원",False
25,24/09/23,US 7W,"148,000원",False
26,24/09/23,US 6W,"137,000원",False
27,24/09/23,US 6W,"138,000원",False
28,24/09/23,US 6W,"137,000원",False
29,24/09/23,US 7W,"148,000원",False
30,24/09/23,US 7W,"145,000원",False
31,24/09/23,US 8W,"136,000원",False
32,24/09/23,US 7W,"148,000원",False
33,24/09/22,US 8W,"136,000원",False
34,24/09/22,US 8W,"135,000원",False
35,24/09/22,US 6W,"135,000원",False
36,24/09/22,US 7W,"148,000원",False
37,24/09/22,US 8W,"134,000원",False
38,24/09/22,US 8W,"133,000원",False
39,24/09/22,US 6W,"135,000원",False
40,24/09/22,US 6W,"135,000원",False
41,24/09/21,US 8W,"132,000원",False
42,24/09/21,US 7W,"147,000원",False
43,24/09/21,US 7W,"145,000원",False
44,24/09/21,US 8W,"131,000원",False
45,24/09/20,US 7W,"144,000원",False
46,24/09/20,US 7W,"143,000원",False
47,24/09/20,US 8W,"130,000원",False
48,24/09/20,US 8W,"129,000원",False
49,24/09/20,US 7W,"139,000원",False
50,24/09/20,US 8W,"130,000원",False
51,24/09/19,US 8W,"129,000원",False
52,24/09/19,US 7W,"138,000원",False
53,24/09/19,US 6W,"136,000원",False
54,24/09/19,US 6W,"136,000원",False
55,24/09/19,US 6W,"136,000원",False
56,24/09/19,US 7W,"141,000원",False
57,24/09/19,US 8W,"128,000원",False
58,24/09/18,US 6W,"136,000원",False
59,24/09/18,US 8W,"128,000원",False
60,24/09/18,US 6W,"136,000원",False
61,24/09/18,US 8W,"128,000원",False
62,24/09/17,US 8W,"128,000원",False
63,24/09/17,US 8W,"129,000원",False
64,24/09/17,US 5W,"129,000원",False
65,24/09/17,US 7W,"180,000원",True
66,24/09/16,US 7W,"147,000원",False
67,24/09/14,US 5W,"128,000원",False
68,24/09/14,US 6W,"136,000원",False
69,24/09/13,US 7W,"145,000원",False
70,24/09/13,US 5W,"127,000원",False
71,24/09/13,US 8W,"129,000원",False
72,24/09/12,US 7W,"146,000원",False
73,24/09/12,US 6W,"136,000원",False
74,24/09/12,US 7W,"146,000원",False
75,24/09/12,US 8W,"130,000원",False
76,24/09/11,US 6W,"136,000원",False
77,24/09/11,US 8W,"129,000원",False
78,24/09/11,US 7W,"148,000원",False
79,24/09/11,US 6W,"135,000원",False
80,24/09/10,US 8W,"129,000원",False
81,24/09/10,US 9W,"152,000원",False
82,24/09/09,US 6W,"138,000원",False
83,24/09/09,US 7W,"148,000원",False
84,24/09/08,US 7W,"149,000원",False
85,24/09/08,US 6W,"138,000원",False
86,24/09/07,US 8W,"130,000원",False
87,24/09/07,US 6W,"137,000원",False
88,24/09/06,US 5W,"135,000원",True
89,24/09/06,US 7W,"149,000원",False
90,24/09/06,US 5W,"135,000원",True
91,24/09/05,US 8W,"129,000원",False
92,24/09/04,US 6W,"140,000원",False
93,24/09/04,US 6W,"139,000원",False
94,24/09/04,US 6W,"139,000원",False
95,24/09/03,US 7W,"150,000원",False
96,24/09/03,US 8W,"130,000원",False
97,24/09/03,US 9W,"152,000원",False
98,24/09/03,US 7W,"149,000원",False
99,24/09/03,US 7W,"160,000원",True
100,24/09/02,US 7W,"145,000원",False
101,24/09/02,US 5W,"120,000원",False
102,24/09/02,US 7W,"129,000원",False
103,24/09/02,US 6W,"145,000원",True
104,24/09/02,US 7W,"129,000원",False
105,24/09/01,US 7W,"129,000원",False
