,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
0,https://kream.co.kr/products/21935?fetchRelated=true,209000,Nike,Nike Air Force 1 '07 WB Flax,나이키 에어포스 1 '07 WB 플랙스,172000,5857,"169,000원",CJ9179-200,19/09/10,Flax/Gum/Light Brown/Black/Wheat
1,https://kream.co.kr/products/316783?fetchRelated=true,8209,Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise 3.0 Black and Multicolor,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 3.0 블랙 앤 멀티컬러,18000,763,"239,000원",AQ3692-004,24/08/14,Black/Multicolor
2,https://kream.co.kr/products/12831?fetchRelated=true,509000,Nike,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,221000,9387,"139,000원",315122-111/CW2288-111,-,White/White
3,https://kream.co.kr/products/179981?fetchRelated=true,8337,Nike,(W) Nike Air Force 1 '07 Cacao Wow,(W) 나이키 에어포스 1 '07 카카오 와우,53000,334,"$135 (약 176,800원)",FQ8901-259,23/10/01,Cacao Wow/Cacao Wow/Sanddrift
4,https://kream.co.kr/products/219423?fetchRelated=true,13000,Nike,(W) Nike Air Force 1 '07 WB Flax Wheat,(W) 나이키 에어포스 1 '07 WB 플랙스 위트,28000,157,"18,920円 (약 174,300원)",FZ7372-200,23/12/18,Flax/Wheat/Gum Light Brown
5,https://kream.co.kr/products/36?fetchRelated=true,93000,Nike,Nike Air Force 1 '07 Low Triple Black,나이키 에어포스 1 '07 로우 트리플 블랙,106000,2575,"139,000원",315122-001/CW2288-001,-,Black/Black
6,https://kream.co.kr/products/13100?fetchRelated=true,173000,Nike,(W) Nike Air Force 1 '07 Low White,(W) 나이키 에어포스 1 '07 로우 화이트,128000,2075,"139,000원",315115-112/DD8959-100,-,White/White
7,https://kream.co.kr/products/18402?fetchRelated=true,33000,Nike,(W) Nike Air Force 1 '07 Low Triple Black,(W) 나이키 에어포스 1 '07 로우 트리플 블랙,58000,651,"$90 (약 117,900원)",315115-038/DD8959-001,-,Black/Black-Black
8,https://kream.co.kr/products/25620?fetchRelated=true,43000,Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 2.0,40000,6565,"219,000원",DD3223-100,20/11/25,White/Black-White
9,https://kream.co.kr/products/23632?fetchRelated=true,63000,Nike,Nike x Supreme Air Force 1 Low White,나이키 x 슈프림 에어포스 1 로우 화이트,61000,3336,"$118 (약 154,600원)",CU9225-100,20/03/05,White/White-White
