,거래일,옵션,거래가,빠른배송
0,24/09/30,L,"304,000원",False
1,24/09/29,L,"305,000원",False
2,24/09/29,L,"306,000원",False
3,24/09/28,M,"319,000원",False
4,24/09/28,S,"316,000원",False
5,24/09/28,M,"321,000원",False
6,24/09/28,L,"307,000원",False
7,24/09/27,L,"307,000원",False
8,24/09/27,S,"315,000원",False
9,24/09/26,S,"284,000원",False
10,24/09/26,M,"324,000원",False
11,24/09/26,L,"314,000원",False
12,24/09/24,S,"320,000원",False
13,24/09/23,L,"318,000원",False
14,24/09/22,S,"319,000원",False
15,24/09/21,L,"301,000원",False
16,24/09/21,S,"316,000원",False
17,24/09/21,M,"332,000원",False
18,24/09/19,S,"316,000원",False
19,24/09/19,M,"334,000원",False
20,24/09/19,S,"315,000원",False
21,24/09/18,M,"335,000원",False
22,24/09/17,M,"338,000원",False
23,24/09/17,S,"318,000원",False
24,24/09/16,XS,"337,000원",False
25,24/09/16,M,"339,000원",False
26,24/09/15,M,"342,000원",False
27,24/09/15,M,"320,000원",False
28,24/09/14,L,"379,000원",True
29,24/09/14,M,"342,000원",False
30,24/09/13,XS,"356,000원",False
31,24/09/13,XS,"324,000원",False
32,24/09/12,XS,"323,000원",False
33,24/09/12,L,"325,000원",False
34,24/09/12,S,"320,000원",False
35,24/09/11,M,"342,000원",False
36,24/09/11,M,"342,000원",False
37,24/09/10,S,"319,000원",False
38,24/09/10,S,"356,000원",True
39,24/09/10,M,"342,000원",False
40,24/09/09,L,"330,000원",False
41,24/09/09,L,"330,000원",False
42,24/09/09,S,"319,000원",False
43,24/09/09,S,"318,000원",False
44,24/09/09,M,"337,000원",False
45,24/09/08,S,"318,000원",False
46,24/09/08,S,"315,000원",False
47,24/09/07,S,"315,000원",False
48,24/09/06,S,"315,000원",False
49,24/09/06,S,"315,000원",False
50,24/09/06,M,"338,000원",False
51,24/09/05,S,"316,000원",False
52,24/09/05,M,"339,000원",False
53,24/09/05,S,"317,000원",False
54,24/09/04,L,"338,000원",False
55,24/09/04,M,"340,000원",False
56,24/09/04,M,"340,000원",False
57,24/09/04,L,"338,000원",False
58,24/09/04,M,"321,000원",False
59,24/09/03,L,"338,000원",False
60,24/09/03,S,"323,000원",False
61,24/09/03,L,"338,000원",False
62,24/09/03,L,"324,000원",False
63,24/09/02,S,"315,000원",False
64,24/09/02,S,"316,000원",False
65,24/09/02,L,"324,000원",False
66,24/09/02,M,"348,000원",False
67,24/09/01,S,"309,000원",False
68,24/09/01,S,"319,000원",False
69,24/08/31,L,"328,000원",False
70,24/08/30,S,"320,000원",False
71,24/08/29,L,"330,000원",False
72,24/08/29,L,"330,000원",False
73,24/08/28,L,"335,000원",False
74,24/08/25,L,"350,000원",False
75,24/08/22,M,"337,000원",False
76,24/08/22,M,"337,000원",False
77,24/08/22,M,"320,000원",False
78,24/08/21,M,"320,000원",False
79,24/08/20,XS,"302,000원",False
80,24/08/19,M,"318,000원",False
81,24/08/19,M,"314,000원",False
82,24/08/18,L,"348,000원",False
83,24/08/18,L,"348,000원",False
84,24/08/17,M,"314,000원",False
85,24/08/13,S,"339,000원",False
86,24/08/11,S,"307,000원",False
87,24/08/11,S,"307,000원",False
88,24/08/10,M,"315,000원",False
89,24/08/09,XS,"302,000원",False
90,24/08/09,S,"300,000원",False
91,24/08/06,S,"309,000원",False
92,24/08/03,L,"322,000원",False
93,24/08/01,S,"300,000원",False
94,24/07/31,S,"289,000원",False
95,24/07/27,S,"300,000원",False
96,24/07/24,L,"320,000원",False
97,24/07/21,S,"200,000원",True
98,24/07/21,S,"292,000원",False
99,24/06/23,S,"244,000원",False
100,24/06/17,S,"296,000원",False
101,24/06/06,M,"319,000원",False
102,24/06/03,XL,"200,000원",False
103,24/05/29,S,"290,000원",False
104,24/05/23,S,"241,000원",False
105,24/05/19,L,"200,000원",True
106,24/05/10,M,"245,000원",False
107,24/05/10,M,"246,000원",False
108,24/05/03,XS,"254,000원",False
109,24/05/03,L,"226,000원",False
110,24/05/03,L,"343,000원",True
111,24/05/03,S,"247,000원",False
112,24/04/21,S,"245,000원",False
113,24/04/19,L,"284,000원",False
114,24/04/12,S,"240,000원",False
