,거래일,옵션,거래가,빠른배송
0,24/09/26,260,"625,000원",False
1,24/09/22,260,"500,000원",False
2,24/09/21,280,"540,000원",False
3,24/09/11,270,"755,000원",False
4,24/09/06,260,"599,000원",False
5,24/09/03,285,"599,000원",False
6,24/08/25,255,"690,000원",False
7,24/08/21,280,"526,000원",False
8,24/08/19,260,"580,000원",False
9,24/08/15,290,"520,000원",False
10,24/08/09,250,"620,000원",False
11,24/08/07,280,"520,000원",False
12,24/07/25,270,"560,000원",False
13,24/07/24,245,"462,000원",False
14,24/07/10,260,"575,000원",False
15,24/07/02,260,"480,000원",False
16,24/07/02,250,"620,000원",False
17,24/06/28,280,"600,000원",False
18,24/06/27,255,"670,000원",False
19,24/06/21,280,"590,000원",False
20,24/06/09,260,"570,000원",False
21,24/06/06,280,"515,000원",False
22,24/06/01,270,"799,000원",False
23,24/05/23,260,"628,000원",False
24,24/05/21,260,"615,000원",False
25,24/05/18,260,"580,000원",False
26,24/05/13,280,"590,000원",False
27,24/05/11,265,"600,000원",False
28,24/05/09,260,"610,000원",False
29,24/05/09,250,"650,000원",False
30,24/05/08,265,"630,000원",False
31,24/05/06,270,"625,000원",False
32,24/04/25,260,"545,000원",False
33,24/04/23,280,"605,000원",False
34,24/04/22,270,"560,000원",False
35,24/04/07,260,"650,000원",True
36,24/04/05,265,"650,000원",True
37,24/04/05,240(US 6),"1,100,000원",False
38,24/03/29,260,"628,000원",False
39,24/03/24,270,"600,000원",False
40,24/03/23,275,"620,000원",False
41,24/03/19,270,"609,000원",False
42,24/03/16,260,"635,000원",False
43,24/03/14,260,"605,000원",False
44,24/03/14,260,"600,000원",False
45,24/03/12,265,"600,000원",False
46,24/03/09,275,"555,000원",False
47,24/03/07,275,"554,000원",False
48,24/02/23,275,"610,000원",False
49,24/02/18,270,"610,000원",False
50,24/02/17,270,"607,000원",False
51,24/02/12,275,"600,000원",False
52,24/02/12,260,"600,000원",False
53,24/02/04,260,"600,000원",False
54,24/01/28,270,"607,000원",False
55,24/01/25,265,"600,000원",False
56,24/01/25,275,"600,000원",False
57,24/01/24,275,"599,000원",False
58,24/01/23,260,"505,000원",False
59,24/01/19,260,"628,000원",True
60,24/01/10,265,"550,000원",False
61,24/01/10,265,"699,000원",True
62,24/01/04,275,"600,000원",True
63,24/01/04,275,"599,000원",True
64,24/01/01,250,"649,000원",False
65,23/12/31,260,"619,000원",False
66,23/12/27,265,"610,000원",False
67,23/12/23,265,"550,000원",True
68,23/12/21,265,"600,000원",False
69,23/12/18,285,"650,000원",False
70,23/12/18,290,"719,000원",False
71,23/12/18,260,"600,000원",False
72,23/12/08,265,"520,000원",True
73,23/12/05,275,"560,000원",False
74,23/12/05,290,"601,000원",False
75,23/12/01,275,"590,000원",False
76,23/11/28,280,"649,000원",False
77,23/11/23,275,"580,000원",False
78,23/11/22,260,"600,000원",False
79,23/11/19,260,"580,000원",False
80,23/11/06,275,"635,000원",True
81,23/11/06,275,"551,000원",False
82,23/11/05,275,"560,000원",False
83,23/10/28,285,"575,000원",False
84,23/10/23,275,"575,000원",False
85,23/10/10,265,"600,000원",False
86,23/10/07,260,"600,000원",False
87,23/10/06,275,"600,000원",False
88,23/10/03,280,"668,000원",False
