,거래일,옵션,거래가,빠른배송
0,24/09/30,270,"425,000원",True
1,24/09/30,250,"355,000원",False
2,24/09/29,285,"424,000원",False
3,24/09/29,280,"437,000원",False
4,24/09/29,260,"370,000원",False
5,24/09/29,265,"380,000원",False
6,24/09/29,270,"400,000원",False
7,24/09/29,265,"379,000원",False
8,24/09/29,270,"399,000원",False
9,24/09/28,300,"520,000원",True
10,24/09/28,265,"413,000원",True
11,24/09/28,265,"379,000원",False
12,24/09/28,275,"400,000원",False
13,24/09/28,275,"400,000원",False
14,24/09/28,280,"434,000원",False
15,24/09/28,280,"433,000원",False
16,24/09/28,270,"398,000원",False
17,24/09/28,270,"395,000원",False
18,24/09/28,270,"394,000원",False
19,24/09/28,265,"370,000원",False
20,24/09/27,260,"375,000원",False
21,24/09/27,265,"375,000원",False
22,24/09/27,265,"375,000원",False
23,24/09/27,270,"426,000원",True
24,24/09/27,265,"360,000원",False
25,24/09/27,300,"460,000원",False
26,24/09/27,255,"375,000원",False
27,24/09/27,280,"437,000원",False
28,24/09/27,255,"374,000원",False
29,24/09/27,255,"359,000원",False
30,24/09/27,280,"435,000원",False
31,24/09/27,265,"374,000원",False
32,24/09/27,275,"400,000원",True
33,24/09/26,280,"434,000원",False
34,24/09/26,275,"370,000원",False
35,24/09/26,270,"360,000원",False
36,24/09/26,270,"381,000원",False
37,24/09/26,260,"379,000원",True
38,24/09/25,270,"392,000원",False
39,24/09/25,255,"370,000원",False
40,24/09/25,290,"490,000원",True
41,24/09/25,285,"404,000원",False
42,24/09/25,285,"430,000원",True
43,24/09/25,270,"395,000원",False
44,24/09/25,265,"421,000원",True
45,24/09/25,265,"330,000원",False
46,24/09/25,275,"409,000원",False
47,24/09/25,275,"405,000원",False
48,24/09/25,275,"395,000원",False
49,24/09/25,280,"436,000원",False
50,24/09/24,280,"435,000원",False
51,24/09/24,265,"360,000원",False
52,24/09/24,270,"382,000원",False
53,24/09/24,255,"360,000원",False
54,24/09/24,280,"434,000원",False
55,24/09/23,295,"520,000원",False
56,24/09/23,285,"425,000원",True
57,24/09/23,260,"377,000원",False
58,24/09/23,275,"411,000원",False
59,24/09/23,275,"410,000원",False
60,24/09/23,275,"410,000원",False
61,24/09/23,275,"409,000원",False
62,24/09/23,275,"405,000원",False
63,24/09/23,275,"400,000원",True
64,24/09/23,270,"397,000원",False
65,24/09/23,290,"433,000원",False
66,24/09/23,255,"375,000원",False
67,24/09/23,255,"374,000원",False
68,24/09/23,250,"322,000원",False
69,24/09/23,250,"341,000원",False
70,24/09/23,265,"381,000원",False
71,24/09/23,280,"402,000원",False
72,24/09/23,275,"404,000원",False
73,24/09/23,280,"469,000원",True
74,24/09/22,285,"422,000원",True
75,24/09/22,275,"393,000원",False
76,24/09/22,265,"424,000원",True
77,24/09/22,265,"383,000원",False
78,24/09/22,265,"386,000원",False
79,24/09/22,285,"415,000원",False
80,24/09/21,280,"424,000원",False
81,24/09/21,270,"395,000원",False
82,24/09/21,265,"395,000원",False
83,24/09/21,280,"422,000원",False
84,24/09/20,275,"410,000원",False
85,24/09/20,270,"398,000원",False
86,24/09/20,290,"435,000원",True
87,24/09/19,250,"324,000원",False
88,24/09/19,275,"395,000원",False
89,24/09/19,270,"425,000원",True
90,24/09/19,275,"408,000원",False
91,24/09/19,280,"448,000원",True
92,24/09/19,270,"424,000원",True
93,24/09/19,275,"405,000원",False
94,24/09/19,285,"407,000원",False
95,24/09/19,245,"520,000원",True
96,24/09/18,250,"340,000원",False
97,24/09/18,250,"392,000원",True
98,24/09/18,270,"410,000원",False
99,24/09/17,255,"379,000원",False
100,24/09/17,265,"432,000원",True
101,24/09/16,280,"447,000원",True
102,24/09/16,275,"428,000원",True
103,24/09/15,285,"426,000원",False
104,24/09/14,265,"439,000원",True
105,24/09/14,260,"381,000원",False
106,24/09/14,275,"408,000원",False
107,24/09/14,280,"432,000원",False
108,24/09/14,275,"428,000원",True
109,24/09/13,280,"425,000원",False
110,24/09/13,260,"380,000원",False
111,24/09/12,255,"370,000원",True
112,24/09/12,255,"419,000원",True
113,24/09/12,280,"425,000원",False
114,24/09/12,270,"426,000원",True
115,24/09/12,285,"405,000원",True
116,24/09/12,285,"426,000원",True
117,24/09/12,275,"410,000원",False
118,24/09/12,270,"385,000원",False
119,24/09/11,255,"415,000원",True
120,24/09/11,265,"387,000원",False
121,24/09/11,265,"400,000원",False
122,24/09/11,275,"428,000원",True
123,24/09/11,280,"425,000원",False
124,24/09/11,290,"420,000원",False
125,24/09/11,250,"350,000원",False
126,24/09/11,285,"405,000원",False
127,24/09/11,280,"424,000원",False
128,24/09/11,300,"460,000원",False
129,24/09/11,280,"447,000원",True
130,24/09/10,260,"380,000원",False
131,24/09/10,275,"428,000원",True
132,24/09/10,275,"410,000원",False
133,24/09/10,280,"419,000원",False
134,24/09/10,270,"410,000원",False
135,24/09/10,265,"399,000원",False
136,24/09/10,275,"402,000원",False
137,24/09/10,275,"427,000원",True
138,24/09/10,265,"398,000원",False
139,24/09/10,290,"447,000원",False
140,24/09/09,265,"385,000원",False
141,24/09/09,260,"410,000원",True
142,24/09/09,280,"419,000원",False
143,24/09/09,285,"401,000원",False
144,24/09/09,265,"405,000원",False
145,24/09/09,265,"452,000원",True
146,24/09/09,240(US 5.5),"418,000원",False
147,24/09/09,285,"425,000원",False
148,24/09/09,250,"325,000원",False
149,24/09/09,230,"368,000원",False
150,24/09/09,260,"411,000원",True
151,24/09/09,260,"367,000원",False
152,24/09/08,295,"560,000원",True
153,24/09/08,260,"368,000원",False
154,24/09/08,275,"416,000원",False
155,24/09/08,275,"415,000원",False
156,24/09/08,270,"410,000원",False
157,24/09/08,265,"407,000원",False
158,24/09/07,260,"407,000원",True
159,24/09/07,265,"406,000원",False
160,24/09/07,270,"413,000원",False
161,24/09/07,265,"405,000원",False
162,24/09/07,255,"385,000원",False
163,24/09/07,300,"479,000원",False
164,24/09/07,275,"395,000원",False
165,24/09/07,285,"435,000원",False
166,24/09/07,270,"400,000원",False
167,24/09/07,260,"370,000원",False
168,24/09/06,265,"404,000원",False
169,24/09/06,275,"417,000원",False
170,24/09/06,250,"350,000원",False
171,24/09/06,255,"384,000원",False
172,24/09/05,265,"403,000원",False
173,24/09/05,265,"451,000원",True
174,24/09/05,265,"404,000원",False
175,24/09/05,270,"405,000원",False
176,24/09/05,275,"418,000원",False
177,24/09/04,265,"391,000원",False
178,24/09/04,265,"400,000원",False
179,24/09/04,270,"418,000원",False
180,24/09/04,285,"458,000원",True
181,24/09/04,280,"447,000원",True
182,24/09/04,275,"395,000원",False
183,24/09/04,275,"415,000원",False
184,24/09/04,275,"395,000원",True
185,24/09/04,275,"440,000원",True
186,24/09/04,280,"405,000원",False
187,24/09/04,260,"399,000원",True
188,24/09/04,265,"402,000원",False
189,24/09/03,260,"370,000원",False
190,24/09/03,275,"410,000원",False
191,24/09/03,270,"410,000원",False
192,24/09/03,260,"381,000원",False
193,24/09/03,250,"369,000원",False
194,24/09/03,280,"430,000원",False
195,24/09/03,275,"410,000원",False
196,24/09/03,275,"408,000원",False
197,24/09/03,275,"395,000원",False
198,24/09/03,285,"449,000원",False
199,24/09/03,270,"408,000원",False
200,24/09/03,265,"400,000원",False
201,24/09/03,275,"407,000원",False
202,24/09/03,275,"439,000원",True
203,24/09/03,270,"408,000원",False
204,24/09/02,265,"406,000원",False
205,24/09/02,270,"407,000원",False
206,24/09/02,285,"415,000원",False
207,24/09/02,265,"405,000원",False
208,24/09/02,250,"370,000원",False
209,24/09/02,260,"389,000원",True
210,24/09/02,275,"409,000원",False
211,24/09/01,255,"385,000원",False
212,24/09/01,270,"410,000원",False
213,24/09/01,260,"380,000원",False
214,24/09/01,255,"380,000원",False
215,24/09/01,295,"519,000원",False
216,24/08/31,265,"402,000원",False
217,24/08/31,280,"415,000원",False
218,24/08/31,285,"445,000원",False
219,24/08/31,290,"478,000원",False
220,24/08/31,265,"400,000원",False
221,24/08/30,270,"405,000원",True
222,24/08/30,270,"407,000원",False
223,24/08/30,270,"415,000원",False
224,24/08/30,290,"470,000원",False
225,24/08/29,280,"429,000원",False
226,24/08/29,265,"440,000원",True
227,24/08/29,270,"420,000원",False
228,24/08/29,275,"447,000원",True
229,24/08/29,275,"405,000원",False
230,24/08/29,265,"400,000원",False
231,24/08/29,260,"380,000원",False
232,24/08/29,250,"350,000원",False
233,24/08/28,260,"385,000원",True
234,24/08/28,260,"379,000원",False
235,24/08/28,280,"415,000원",False
236,24/08/28,250,"330,000원",False
237,24/08/28,265,"400,000원",False
238,24/08/27,270,"415,000원",False
239,24/08/27,270,"402,000원",False
240,24/08/27,290,"479,000원",False
241,24/08/27,280,"438,000원",True
242,24/08/27,280,"435,000원",False
243,24/08/27,280,"420,000원",False
244,24/08/27,265,"400,000원",False
245,24/08/26,260,"375,000원",False
246,24/08/26,270,"410,000원",False
247,24/08/26,275,"415,000원",False
248,24/08/26,285,"440,000원",False
249,24/08/26,285,"419,000원",False
250,24/08/26,275,"405,000원",False
251,24/08/26,275,"414,000원",False
252,24/08/26,280,"415,000원",False
253,24/08/26,270,"447,000원",True
254,24/08/26,265,"420,000원",True
255,24/08/25,260,"361,000원",True
256,24/08/25,275,"423,000원",False
257,24/08/25,275,"448,000원",True
258,24/08/25,260,"387,000원",True
259,24/08/25,265,"419,000원",True
260,24/08/25,265,"403,000원",False
261,24/08/24,285,"438,000원",False
262,24/08/24,280,"430,000원",False
263,24/08/24,260,"378,000원",False
264,24/08/24,230,"401,000원",False
265,24/08/24,275,"410,000원",False
266,24/08/24,260,"372,000원",False
267,24/08/24,260,"371,000원",False
268,24/08/24,280,"435,000원",False
269,24/08/24,285,"430,000원",False
270,24/08/24,275,"404,000원",False
271,24/08/23,270,"401,000원",False
272,24/08/23,260,"389,000원",True
273,24/08/23,275,"425,000원",False
274,24/08/23,255,"412,000원",True
275,24/08/23,270,"446,000원",True
276,24/08/22,280,"437,000원",True
277,24/08/22,275,"413,000원",False
278,24/08/22,275,"424,000원",False
279,24/08/22,275,"420,000원",False
280,24/08/22,270,"424,000원",False
281,24/08/21,310,"519,000원",False
282,24/08/21,300,"462,000원",False
283,24/08/21,275,"448,000원",True
284,24/08/21,280,"436,000원",True
285,24/08/21,260,"368,000원",False
286,24/08/21,275,"412,000원",False
287,24/08/21,270,"423,000원",False
288,24/08/20,260,"349,000원",False
289,24/08/20,280,"400,000원",True
290,24/08/20,280,"433,000원",True
291,24/08/20,285,"439,000원",False
292,24/08/20,280,"415,000원",False
293,24/08/20,270,"424,000원",False
294,24/08/20,265,"400,000원",False
295,24/08/20,270,"423,000원",False
296,24/08/20,265,"414,000원",True
297,24/08/19,285,"439,000원",False
298,24/08/19,275,"420,000원",False
299,24/08/19,265,"413,000원",True
300,24/08/19,270,"445,000원",True
301,24/08/19,265,"370,000원",False
302,24/08/19,270,"423,000원",False
