,거래일,옵션,거래가,빠른배송
0,24/09/27,265,"616,000원",False
1,24/09/26,270,"647,000원",True
2,24/09/26,270,"645,000원",True
3,24/09/26,270,"644,000원",True
4,24/09/26,270,"626,000원",False
5,24/09/25,270,"625,000원",True
6,24/09/25,270,"623,000원",True
7,24/09/25,270,"634,000원",True
8,24/09/25,270,"633,000원",True
9,24/09/25,280,"665,000원",True
10,24/09/24,265,"629,000원",False
11,24/09/24,280,"664,000원",True
12,24/09/24,270,"623,000원",True
13,24/09/24,270,"635,000원",False
14,24/09/24,275,"660,000원",False
15,24/09/24,270,"633,000원",True
16,24/09/23,275,"700,000원",True
17,24/09/23,255,"699,000원",False
18,24/09/23,250,"686,000원",False
19,24/09/23,275,"644,000원",False
20,24/09/22,265,"630,000원",False
21,24/09/21,265,"629,000원",False
22,24/09/21,275,"672,000원",False
23,24/09/20,300,"710,000원",False
24,24/09/20,270,"638,000원",True
25,24/09/20,280,"660,000원",True
26,24/09/20,280,"649,000원",False
27,24/09/20,270,"635,000원",True
28,24/09/19,265,"648,000원",True
29,24/09/19,265,"630,000원",True
30,24/09/19,280,"641,000원",True
31,24/09/19,270,"648,000원",True
32,24/09/19,275,"700,000원",True
33,24/09/19,270,"648,000원",True
34,24/09/19,270,"647,000원",True
35,24/09/19,270,"644,000원",True
36,24/09/18,270,"635,000원",True
37,24/09/18,265,"629,000원",True
38,24/09/18,265,"629,000원",True
39,24/09/18,285,"645,000원",False
40,24/09/18,280,"642,000원",False
41,24/09/18,255,"675,000원",False
42,24/09/17,250,"680,000원",False
43,24/09/17,270,"647,000원",True
44,24/09/16,270,"652,000원",True
45,24/09/15,270,"649,000원",True
46,24/09/15,275,"680,000원",True
47,24/09/14,270,"644,000원",True
48,24/09/14,260,"678,000원",False
49,24/09/13,230,"753,000원",False
50,24/09/13,275,"680,000원",True
51,24/09/12,265,"640,000원",False
52,24/09/12,270,"630,000원",True
53,24/09/12,265,"650,000원",True
54,24/09/12,270,"630,000원",True
55,24/09/12,270,"629,000원",True
56,24/09/12,260,"687,000원",True
57,24/09/12,260,"682,000원",True
58,24/09/12,260,"681,000원",True
59,24/09/11,270,"620,000원",True
60,24/09/11,280,"658,000원",True
61,24/09/11,275,"700,000원",True
62,24/09/11,270,"628,000원",True
63,24/09/11,260,"679,000원",True
64,24/09/11,270,"623,000원",True
65,24/09/11,270,"620,000원",True
66,24/09/11,250,"714,000원",True
67,24/09/11,270,"610,000원",True
68,24/09/10,280,"657,000원",False
69,24/09/10,250,"660,000원",False
70,24/09/10,260,"625,000원",False
71,24/09/09,290,"723,000원",True
72,24/09/09,270,"627,000원",True
