,거래일,옵션,거래가,빠른배송
0,24/09/30,280,"223,000원",True
1,24/09/30,235(US 4.5),"234,000원",True
2,24/09/29,275,"221,000원",False
3,24/09/29,265,"212,000원",False
4,24/09/29,285,"247,000원",True
5,24/09/29,280,"222,000원",False
6,24/09/29,265,"212,000원",False
7,24/09/28,265,"213,000원",False
8,24/09/28,275,"217,000원",False
9,24/09/28,280,"220,000원",False
10,24/09/28,280,"219,000원",False
11,24/09/28,260,"192,000원",False
12,24/09/28,250,"190,000원",False
13,24/09/27,275,"245,000원",True
14,24/09/27,240(US 6),"213,000원",True
15,24/09/27,280,"222,000원",True
16,24/09/26,255,"211,000원",True
17,24/09/26,275,"220,000원",False
18,24/09/26,270,"207,000원",False
19,24/09/26,265,"214,000원",False
20,24/09/26,245,"190,000원",True
21,24/09/26,260,"214,000원",False
22,24/09/25,260,"205,000원",False
23,24/09/25,260,"204,000원",False
24,24/09/25,235(US 5),"220,000원",False
25,24/09/25,285,"229,000원",True
26,24/09/25,280,"219,000원",False
27,24/09/25,245,"170,000원",False
28,24/09/25,270,"209,000원",False
29,24/09/25,270,"208,000원",False
30,24/09/25,275,"219,000원",False
31,24/09/24,245,"189,000원",False
32,24/09/24,260,"193,000원",False
33,24/09/24,285,"215,000원",False
34,24/09/24,270,"209,000원",False
35,24/09/24,260,"275,000원",True
36,24/09/24,270,"210,000원",False
37,24/09/24,260,"193,000원",False
38,24/09/24,285,"236,000원",True
39,24/09/23,280,"222,000원",True
40,24/09/23,285,"216,000원",False
41,24/09/23,245,"190,000원",False
42,24/09/23,275,"235,000원",True
43,24/09/23,255,"190,000원",False
44,24/09/23,275,"216,000원",False
45,24/09/22,285,"230,000원",False
46,24/09/22,285,"229,000원",False
47,24/09/22,285,"227,000원",False
48,24/09/22,275,"222,000원",False
49,24/09/22,275,"220,000원",False
50,24/09/22,275,"220,000원",False
51,24/09/22,275,"219,000원",False
52,24/09/22,270,"233,000원",True
53,24/09/22,260,"204,000원",False
54,24/09/22,250,"200,000원",False
55,24/09/22,230,"289,000원",True
56,24/09/21,265,"269,000원",True
57,24/09/21,265,"222,000원",False
58,24/09/21,275,"219,000원",False
59,24/09/21,270,"212,000원",False
60,24/09/21,280,"219,000원",False
61,24/09/21,270,"211,000원",False
62,24/09/20,275,"218,000원",False
63,24/09/20,270,"200,000원",False
64,24/09/20,300,"309,000원",False
65,24/09/20,260,"205,000원",False
66,24/09/20,275,"218,000원",False
