,거래일,옵션,거래가,빠른배송
0,24/09/30,270,"126,000원",False
1,24/09/29,265,"127,000원",False
2,24/09/29,265,"128,000원",False
3,24/09/28,260,"128,000원",False
4,24/09/27,285,"125,000원",False
5,24/09/27,230,"132,000원",False
6,24/09/27,255,"125,000원",False
7,24/09/27,280,"120,000원",False
8,24/09/27,275,"133,000원",False
9,24/09/27,270,"130,000원",False
10,24/09/26,280,"120,000원",False
11,24/09/26,235(US 5),"140,000원",False
12,24/09/26,285,"117,000원",False
13,24/09/25,285,"123,000원",False
14,24/09/25,280,"120,000원",False
15,24/09/25,270,"130,000원",False
16,24/09/25,270,"129,000원",False
17,24/09/24,255,"136,000원",False
18,24/09/24,265,"128,000원",False
19,24/09/23,275,"130,000원",False
20,24/09/23,265,"128,000원",False
21,24/09/22,270,"126,000원",False
22,24/09/22,275,"132,000원",False
23,24/09/22,275,"131,000원",False
24,24/09/21,285,"123,000원",False
25,24/09/20,250,"130,000원",False
26,24/09/19,265,"142,000원",False
27,24/09/19,275,"134,000원",False
28,24/09/19,230,"132,000원",False
29,24/09/19,270,"126,000원",False
30,24/09/19,290,"139,000원",False
31,24/09/19,285,"123,000원",False
32,24/09/19,250,"125,000원",False
33,24/09/19,270,"144,000원",True
34,24/09/18,230,"129,000원",False
35,24/09/18,230,"128,000원",False
36,24/09/18,265,"128,000원",False
37,24/09/17,265,"130,000원",True
38,24/09/17,275,"130,000원",False
39,24/09/17,270,"136,000원",False
40,24/09/17,270,"134,000원",False
41,24/09/17,270,"133,000원",False
42,24/09/16,265,"140,000원",False
43,24/09/16,270,"132,000원",False
44,24/09/16,265,"138,000원",False
45,24/09/15,260,"140,000원",False
46,24/09/15,290,"143,000원",False
47,24/09/14,280,"120,000원",False
48,24/09/14,280,"121,000원",False
49,24/09/14,245,"147,000원",False
50,24/09/13,275,"130,000원",False
51,24/09/13,285,"120,000원",False
52,24/09/12,275,"125,000원",False
53,24/09/12,275,"125,000원",False
54,24/09/11,260,"138,000원",False
55,24/09/11,260,"137,000원",False
56,24/09/11,260,"136,000원",False
57,24/09/10,275,"129,000원",False
58,24/09/10,275,"128,000원",False
59,24/09/09,275,"130,000원",False
60,24/09/09,260,"135,000원",False
61,24/09/09,260,"134,000원",False
62,24/09/09,260,"133,000원",False
63,24/09/08,270,"130,000원",False
64,24/09/08,265,"151,000원",True
65,24/09/06,260,"134,000원",False
66,24/09/06,245,"149,000원",False
67,24/09/06,275,"125,000원",False
68,24/09/05,250,"149,000원",False
69,24/09/04,270,"125,000원",False
70,24/09/04,280,"129,000원",False
71,24/09/04,275,"130,000원",False
72,24/09/04,265,"135,000원",False
73,24/09/04,265,"132,000원",False
74,24/09/03,265,"128,000원",False
75,24/09/03,265,"127,000원",False
76,24/09/03,260,"126,000원",False
77,24/09/02,285,"128,000원",False
78,24/09/02,275,"122,000원",False
79,24/09/01,265,"139,000원",False
80,24/09/01,255,"139,000원",False
81,24/08/31,265,"139,000원",False
82,24/08/30,265,"132,000원",False
83,24/08/30,250,"146,000원",False
84,24/08/30,250,"120,000원",False
85,24/08/28,275,"125,000원",False
86,24/08/27,255,"130,000원",False
87,24/08/27,275,"130,000원",False
88,24/08/26,270,"125,000원",False
89,24/08/24,270,"145,000원",False
90,24/08/24,265,"150,000원",False
91,24/08/24,265,"145,000원",False
92,24/08/24,265,"145,000원",False
93,24/08/24,260,"154,000원",False
94,24/08/24,260,"153,000원",False
95,24/08/24,260,"152,000원",False
96,24/08/24,255,"145,000원",False
97,24/08/24,255,"144,000원",False
98,24/08/23,300,"151,000원",False
99,24/08/22,285,"130,000원",True
100,24/08/21,290,"134,000원",False
101,24/08/21,270,"136,000원",False
102,24/08/21,265,"138,000원",False
103,24/08/20,255,"135,000원",False
104,24/08/20,265,"130,000원",False
105,24/08/20,285,"120,000원",False
106,24/08/19,280,"135,000원",False
107,24/08/19,280,"134,000원",False
108,24/08/19,280,"132,000원",False
109,24/08/19,280,"131,000원",False
110,24/08/19,280,"130,000원",False
111,24/08/19,280,"129,000원",False
112,24/08/19,275,"136,000원",False
113,24/08/19,275,"134,000원",False
114,24/08/19,275,"133,000원",False
