,거래일,옵션,거래가,빠른배송
0,24/09/28,270,"325,000원",False
1,24/09/22,275,"347,000원",False
2,24/09/19,265,"307,000원",False
3,24/09/18,270,"330,000원",False
4,24/09/02,280,"408,000원",False
5,24/08/29,260,"360,000원",True
6,24/08/26,275,"351,000원",False
7,24/08/23,260,"283,000원",False
8,24/08/23,265,"370,000원",False
9,24/08/14,300,"469,000원",True
10,24/08/01,250,"394,000원",False
11,24/08/01,270,"321,000원",False
12,24/07/31,260,"340,000원",False
13,24/07/21,275,"323,000원",False
14,24/07/20,270,"335,000원",False
15,24/07/14,260,"408,000원",False
16,24/07/13,265,"366,000원",False
17,24/07/09,280,"390,000원",False
18,24/07/07,270,"330,000원",False
19,24/07/05,250,"393,000원",False
20,24/06/28,275,"350,000원",False
21,24/06/27,270,"330,000원",False
22,24/06/27,275,"349,000원",False
23,24/06/27,270,"325,000원",False
24,24/06/25,275,"348,000원",False
25,24/06/24,275,"320,000원",False
26,24/06/20,270,"311,000원",False
27,24/06/19,275,"330,000원",False
28,24/06/11,275,"340,000원",False
29,24/06/10,285,"542,000원",False
30,24/06/07,270,"322,000원",False
31,24/05/29,275,"349,000원",False
32,24/05/29,260,"442,000원",False
33,24/05/27,275,"339,000원",False
34,24/05/25,260,"430,000원",False
35,24/05/25,240(US 6),"426,000원",False
36,24/05/23,275,"335,000원",False
37,24/05/23,260,"368,000원",False
38,24/05/23,270,"370,000원",False
39,24/05/22,275,"330,000원",False
40,24/05/17,270,"348,000원",True
41,24/05/17,260,"300,000원",False
42,24/05/11,255,"424,000원",False
43,24/05/07,265,"370,000원",False
44,24/05/01,240(US 6),"428,000원",False
45,24/05/01,275,"375,000원",False
46,24/04/30,270,"350,000원",True
47,24/04/28,245,"400,000원",False
48,24/04/27,275,"375,000원",False
49,24/04/26,280,"434,000원",False
50,24/04/21,270,"398,000원",True
51,24/04/20,280,"400,000원",False
52,24/04/18,275,"379,000원",False
53,24/04/17,285,"371,000원",False
54,24/04/15,270,"377,000원",False
55,24/04/11,275,"350,000원",False
56,24/04/08,275,"357,000원",False
57,24/04/08,280,"300,000원",True
58,24/04/05,265,"370,000원",False
59,24/04/02,260,"360,000원",False
60,24/04/01,255,"429,000원",False
61,24/03/31,280,"334,000원",False
62,24/03/27,275,"351,000원",False
63,24/03/27,260,"305,000원",False
64,24/03/25,280,"350,000원",False
65,24/03/23,290,"320,000원",True
66,24/03/21,285,"560,000원",True
67,24/03/16,280,"395,000원",True
68,24/03/11,270,"375,000원",False
69,24/03/11,285,"435,000원",False
70,24/03/10,280,"390,000원",False
71,24/03/08,250,"400,000원",False
72,24/03/07,270,"360,000원",False
73,24/03/05,240(US 6),"291,000원",False
74,24/03/05,265,"380,000원",False
75,24/03/04,250,"399,000원",False
76,24/02/29,280,"390,000원",False
77,24/02/25,280,"385,000원",False
78,24/02/20,260,"379,000원",True
79,24/02/13,255,"356,000원",False
80,24/02/07,270,"374,000원",False
81,24/02/06,275,"399,000원",False
82,24/02/02,255,"349,000원",True
83,24/02/01,270,"359,000원",False
84,24/01/31,265,"360,000원",False
85,24/01/30,260,"330,000원",False
86,24/01/29,265,"366,000원",False
87,24/01/28,290,"365,000원",True
88,24/01/28,265,"290,000원",True
89,24/01/26,260,"379,000원",True
