,거래일,옵션,거래가,빠른배송
0,24/09/26,270,"1,500,000원",False
1,24/09/06,255,"1,150,000원",False
2,24/08/19,260,"1,120,000원",False
3,24/08/14,265,"1,390,000원",False
4,24/08/02,260,"1,150,000원",False
5,24/07/30,285,"1,900,000원",False
6,24/07/19,265,"1,449,000원",False
7,24/07/18,260,"1,136,000원",False
8,24/07/02,275,"1,650,000원",False
9,24/05/31,270,"2,000,000원",False
10,24/05/30,260,"1,210,000원",False
11,24/05/27,270,"1,790,000원",False
12,24/05/23,285,"1,400,000원",False
13,24/05/21,275,"1,740,000원",False
14,24/05/14,265,"1,500,000원",False
15,24/05/01,245,"1,400,000원",False
16,24/05/01,260,"1,230,000원",False
17,24/04/15,270,"1,789,000원",False
18,24/03/26,260,"1,210,000원",False
19,24/03/20,240(US 6),"1,350,000원",False
20,24/03/16,265,"1,600,000원",False
21,24/03/13,270,"1,799,000원",False
22,24/03/13,240(US 6),"1,699,000원",False
23,24/03/11,250,"1,210,000원",True
24,24/03/11,250,"1,800,000원",True
25,24/03/08,265,"1,500,000원",False
26,24/03/08,255,"1,280,000원",False
27,24/03/08,265,"1,530,000원",False
28,24/02/20,270,"1,450,000원",False
29,24/02/15,265,"1,540,000원",False
30,24/01/18,270,"1,300,000원",False
31,24/01/14,270,"1,400,000원",False
32,24/01/14,265,"1,400,000원",False
33,24/01/10,265,"1,280,000원",False
34,23/12/21,270,"1,400,000원",False
35,23/12/19,260,"1,340,000원",False
36,23/12/04,265,"1,600,000원",False
37,23/12/02,265,"1,549,000원",True
38,23/11/27,265,"1,500,000원",True
39,23/11/22,270,"1,807,000원",False
40,23/11/11,275,"1,505,000원",False
41,23/11/07,270,"1,600,000원",False
42,23/10/24,240(US 6),"1,550,000원",False
43,23/10/16,280,"1,790,000원",False
44,23/09/08,265,"1,649,000원",False
45,23/08/08,270,"1,669,000원",False
46,23/08/07,275,"1,650,000원",False
47,23/08/07,270,"1,663,000원",False
48,23/08/07,275,"1,600,000원",False
49,23/08/07,275,"1,592,000원",False
50,23/08/07,275,"1,591,000원",False
51,23/08/07,250,"1,700,000원",False
52,23/07/30,270,"1,500,000원",False
53,23/07/20,250,"1,150,000원",False
54,23/07/13,240(US 6),"1,800,000원",True
55,23/06/15,270,"1,599,000원",True
56,23/06/12,250,"1,100,000원",False
57,23/06/04,260,"1,600,000원",False
58,23/06/02,265,"1,490,000원",False
59,23/05/06,270,"1,580,000원",False
60,23/05/06,265,"1,690,000원",False
61,23/05/06,265,"1,509,000원",False
62,23/05/05,265,"1,505,000원",False
63,23/04/28,290,"1,700,000원",False
64,23/04/18,240(US 6),"1,070,000원",False
65,23/04/13,270,"1,500,000원",False
66,23/04/10,275,"1,480,000원",False
67,23/04/07,265,"1,270,000원",False
68,23/03/23,240(US 6),"1,600,000원",True
69,23/03/23,270,"1,500,000원",False
70,23/03/21,265,"1,200,000원",False
71,23/03/01,265,"1,550,000원",False
72,23/02/28,265,"1,428,000원",False
73,23/02/27,280,"1,650,000원",False
74,23/02/26,270,"1,450,000원",False
75,23/02/26,270,"1,440,000원",False
76,23/02/26,275,"1,450,000원",False
77,23/02/20,280,"1,640,000원",False
78,23/02/14,255,"1,400,000원",False
79,23/02/06,260,"1,450,000원",False
80,23/02/06,290,"1,900,000원",False
81,23/02/03,275,"1,580,000원",False
82,23/01/30,265,"1,443,000원",False
83,23/01/06,270,"1,390,000원",False
84,22/12/29,265,"1,350,000원",False
85,22/12/10,270,"1,385,000원",False
86,22/12/03,270,"1,305,000원",False
87,22/12/03,265,"1,330,000원",False
88,22/12/02,275,"1,650,000원",True
89,22/11/26,265,"1,479,000원",False
90,22/11/16,270,"1,400,000원",False
91,22/11/13,275,"1,370,000원",True
92,22/11/13,275,"1,390,000원",True
93,22/11/11,275,"1,386,000원",True
94,22/11/03,275,"1,385,000원",False
95,22/11/03,265,"1,200,000원",False
96,22/11/02,270,"1,400,000원",True
97,22/10/26,270,"1,320,000원",False
98,22/10/18,275,"1,370,000원",False
99,22/10/18,265,"1,400,000원",False
100,22/10/14,285,"1,800,000원",False
101,22/10/12,260,"1,635,000원",False
102,22/10/06,255,"1,301,000원",False
103,22/10/05,270,"1,331,000원",False
104,22/09/29,270,"1,380,000원",False
105,22/09/28,260,"1,200,000원",False
106,22/09/16,255,"1,500,000원",False
107,22/09/15,270,"1,400,000원",False
108,22/09/13,270,"1,489,000원",False
109,22/09/10,255,"1,469,000원",False
110,22/09/10,260,"1,539,000원",False
111,22/09/05,265,"1,598,000원",False
112,22/08/22,270,"1,442,000원",False
113,22/08/22,275,"1,461,000원",False
114,22/08/10,280,"1,750,000원",False
115,22/08/08,270,"1,530,000원",False
116,22/08/06,270,"1,520,000원",False
117,22/08/03,270,"1,500,000원",False
118,22/07/29,260,"1,400,000원",False
119,22/07/24,265,"1,540,000원",False
120,22/07/22,240(US 6),"1,600,000원",False
121,22/07/19,270,"1,420,000원",False
122,22/07/18,270,"1,500,000원",False
123,22/07/15,290,"1,850,000원",False
124,22/07/14,260,"1,300,000원",False
125,22/07/12,290,"1,880,000원",False
126,22/07/10,255,"1,474,000원",False
127,22/07/07,250,"1,301,000원",False
128,22/07/07,265,"1,490,000원",False
129,22/06/28,250,"1,350,000원",False
130,22/06/21,270,"1,539,000원",False
131,22/06/20,270,"1,420,000원",False
132,22/06/20,240(US 6),"1,500,000원",False
133,22/06/19,265,"1,450,000원",False
134,22/06/09,275,"1,779,000원",False
135,22/06/07,250,"1,650,000원",False
136,22/06/03,280,"1,949,000원",False
137,22/06/02,245,"2,000,000원",False
138,22/06/02,245,"1,899,000원",False
139,22/06/02,275,"1,780,000원",False
140,22/06/02,275,"1,680,000원",False
141,22/05/28,255,"1,400,000원",False
142,22/05/26,280,"1,870,000원",False
143,22/05/22,270,"1,450,000원",False
144,22/05/19,270,"1,490,000원",False
145,22/05/17,270,"1,550,000원",False
146,22/05/11,250,"1,750,000원",False
147,22/05/06,250,"1,740,000원",False
148,22/05/04,270,"1,510,000원",False
149,22/05/03,275,"1,630,000원",False
150,22/05/03,275,"1,779,000원",False
151,22/05/03,265,"1,550,000원",False
152,22/04/28,260,"1,610,000원",False
153,22/04/25,270,"1,527,000원",False
154,22/04/22,270,"1,528,000원",False
155,22/04/20,270,"1,620,000원",False
156,22/04/15,265,"1,640,000원",False
157,22/04/13,255,"1,361,000원",False
158,22/04/11,275,"1,645,000원",False
159,22/04/07,270,"1,550,000원",False
160,22/04/06,270,"1,550,000원",False
161,22/04/04,250,"2,000,000원",False
162,22/04/02,275,"1,640,000원",False
163,22/03/28,270,"1,615,000원",False
164,22/03/27,250,"1,800,000원",False
165,22/03/25,245,"1,570,000원",False
166,22/03/22,285,"1,800,000원",False
167,22/03/20,270,"1,680,000원",False
168,22/03/16,275,"1,849,000원",False
169,22/03/16,270,"1,500,000원",False
170,22/03/15,280,"1,790,000원",False
171,22/03/15,280,"1,840,000원",False
172,22/03/14,265,"1,640,000원",False
173,22/03/09,270,"1,520,000원",False
174,22/03/08,290,"1,850,000원",False
175,22/03/04,265,"1,638,000원",False
176,22/03/04,270,"1,610,000원",False
177,22/03/03,270,"1,521,000원",False
178,22/03/03,265,"1,500,000원",False
179,22/03/02,270,"1,576,000원",False
180,22/02/27,250,"1,800,000원",False
181,22/02/24,235(US 5),"2,200,000원",False
182,22/02/23,265,"1,600,000원",False
183,22/02/19,260,"1,695,000원",False
184,22/02/17,270,"1,695,000원",False
185,22/02/17,275,"1,650,000원",False
186,22/02/15,285,"1,720,000원",False
187,22/02/14,255,"1,698,000원",False
188,22/02/14,260,"1,698,000원",False
189,22/02/14,260,"1,680,000원",False
190,22/02/13,270,"1,580,000원",False
191,22/02/13,270,"1,579,000원",False
192,22/02/12,255,"1,579,000원",False
193,22/02/10,275,"1,630,000원",False
194,22/02/10,270,"1,468,000원",False
195,22/02/09,270,"1,450,000원",False
196,22/02/09,265,"1,535,000원",False
197,22/02/09,260,"1,500,000원",False
198,22/02/08,265,"1,500,000원",False
199,22/02/07,275,"1,605,000원",False
200,22/02/07,255,"1,499,000원",False
201,22/02/05,270,"1,450,000원",False
202,22/02/05,260,"1,490,000원",False
203,22/02/04,270,"1,440,000원",False
204,22/01/24,265,"1,490,000원",False
205,22/01/22,250,"1,690,000원",False
206,22/01/22,270,"1,440,000원",False
207,22/01/21,260,"1,429,000원",False
208,22/01/20,275,"1,590,000원",False
209,22/01/20,280,"1,700,000원",False
210,22/01/19,270,"1,439,000원",False
211,22/01/16,275,"1,618,000원",False
212,22/01/11,250,"1,630,000원",False
213,22/01/11,270,"1,469,000원",False
214,22/01/10,290,"2,300,000원",False
215,22/01/04,260,"1,555,000원",False
216,22/01/04,260,"1,367,000원",False
217,21/12/30,260,"1,400,000원",False
218,21/12/24,270,"1,489,000원",False
219,21/12/24,260,"1,390,000원",False
220,21/12/22,250,"1,690,000원",False
221,21/12/22,270,"1,367,000원",False
222,21/12/17,260,"1,444,000원",False
223,21/12/16,245,"1,480,000원",False
224,21/12/15,270,"1,474,000원",False
225,21/12/15,280,"1,700,000원",False
226,21/12/14,270,"1,350,000원",False
227,21/12/09,270,"1,380,000원",False
228,21/12/07,270,"1,375,000원",False
229,21/12/06,255,"1,430,000원",False
230,21/12/05,285,"1,900,000원",False
231,21/12/05,270,"1,380,000원",False
232,21/12/04,270,"1,389,000원",False
233,21/12/03,265,"1,475,000원",False
234,21/12/01,290,"2,150,000원",False
235,21/11/28,275,"1,590,000원",False
236,21/11/26,270,"1,400,000원",False
237,21/11/26,260,"1,400,000원",False
238,21/11/25,260,"1,399,000원",False
239,21/11/25,270,"1,400,000원",False
240,21/11/25,260,"1,398,000원",False
241,21/11/24,270,"1,300,000원",False
242,21/11/23,260,"1,380,000원",False
243,21/11/19,260,"1,350,000원",False
244,21/11/18,270,"1,405,000원",False
245,21/11/17,275,"1,599,000원",False
246,21/11/15,260,"1,399,000원",False
247,21/11/15,260,"1,390,000원",False
248,21/11/10,270,"1,360,000원",False
249,21/11/05,275,"1,600,000원",False
250,21/11/01,270,"1,400,000원",False
251,21/11/01,270,"1,400,000원",False
252,21/10/28,270,"1,345,000원",False
253,21/10/18,280,"1,550,000원",False
254,21/10/14,270,"1,410,000원",False
255,21/10/14,260,"1,430,000원",False
256,21/10/08,270,"1,464,000원",False
257,21/10/06,255,"1,440,000원",False
258,21/10/03,270,"1,465,000원",False
259,21/10/01,265,"1,480,000원",False
260,21/09/30,270,"1,469,000원",False
261,21/09/26,260,"1,459,000원",False
262,21/09/22,270,"1,470,000원",False
263,21/09/22,275,"1,587,000원",False
264,21/09/22,270,"1,460,000원",False
265,21/09/21,270,"1,460,000원",False
266,21/09/20,240(US 6),"1,650,000원",False
267,21/09/16,270,"1,420,000원",False
268,21/09/14,270,"1,420,000원",False
269,21/09/13,270,"1,420,000원",False
270,21/09/11,270,"1,420,000원",False
271,21/09/08,250,"1,700,000원",False
272,21/09/08,260,"1,459,000원",False
273,21/09/05,250,"1,689,000원",False
274,21/09/02,270,"1,420,000원",False
275,21/08/26,270,"1,420,000원",False
276,21/08/26,270,"1,417,000원",False
277,21/08/25,280,"1,540,000원",False
278,21/08/22,265,"1,460,000원",False
279,21/08/22,280,"1,690,000원",False
280,21/08/19,285,"1,850,000원",False
281,21/08/09,280,"1,650,000원",False
282,21/08/09,260,"1,460,000원",False
283,21/08/02,255,"1,455,000원",False
284,21/07/27,275,"1,590,000원",False
285,21/07/27,260,"1,490,000원",False
286,21/07/26,265,"1,485,000원",False
287,21/07/25,270,"1,485,000원",False
288,21/07/24,260,"1,380,000원",False
289,21/07/24,275,"1,595,000원",False
290,21/07/20,270,"1,500,000원",False
291,21/07/16,245,"1,940,000원",False
292,21/07/16,280,"1,610,000원",False
293,21/07/16,255,"1,361,000원",False
294,21/07/13,275,"1,710,000원",False
295,21/07/09,270,"1,495,000원",False
296,21/07/09,275,"1,700,000원",False
297,21/07/08,265,"1,450,000원",False
298,21/07/08,270,"1,420,000원",False
299,21/07/04,290,"1,850,000원",False
300,21/07/02,270,"1,455,000원",False
301,21/06/28,265,"1,500,000원",False
302,21/06/26,255,"1,450,000원",False
303,21/06/26,265,"1,490,000원",False
304,21/06/26,255,"1,400,000원",False
305,21/06/25,270,"1,500,000원",False
306,21/06/24,290,"2,050,000원",False
307,21/06/23,270,"1,500,000원",False
308,21/06/21,270,"1,450,000원",False
309,21/06/21,250,"1,530,000원",False
310,21/06/20,255,"1,440,000원",False
311,21/06/19,260,"1,500,000원",False
