,거래일,옵션,거래가,빠른배송
0,24/09/18,270,"899,000원",False
1,24/09/04,275,"850,000원",False
2,24/08/08,275,"850,000원",False
3,24/08/06,285,"1,099,000원",False
4,24/07/25,270,"919,000원",False
5,24/06/07,275,"831,000원",False
6,24/06/05,280,"1,000,000원",False
7,24/05/07,245,"1,590,000원",False
8,24/04/17,260,"920,000원",False
9,24/04/05,265,"1,100,000원",False
10,24/03/08,265,"940,000원",False
11,24/03/05,240,"1,780,000원",False
12,24/03/04,255,"1,000,000원",False
13,24/02/08,265,"920,000원",False
14,24/01/31,275,"850,000원",True
15,24/01/19,265,"900,000원",False
16,24/01/06,255,"1,090,000원",False
17,24/01/06,275,"1,000,000원",False
18,24/01/04,275,"1,050,000원",True
19,23/12/19,265,"800,000원",False
20,23/12/14,290,"900,000원",False
21,23/12/11,280,"1,010,000원",False
22,23/12/01,280,"1,590,000원",True
23,23/11/15,280,"1,020,000원",False
24,23/11/15,290,"950,000원",False
25,23/11/14,265,"1,399,000원",True
26,23/10/30,275,"1,220,000원",True
27,23/10/26,255,"1,350,000원",False
28,23/10/25,270,"920,000원",False
29,23/10/23,275,"991,000원",False
30,23/10/11,275,"992,000원",False
31,23/10/06,275,"1,000,000원",False
32,23/10/04,270,"1,200,000원",False
33,23/09/20,290,"1,500,000원",False
34,23/09/13,290,"1,300,000원",False
35,23/09/01,270,"1,000,000원",False
36,23/08/22,275,"1,250,000원",True
37,23/08/22,270,"1,035,000원",True
38,23/07/11,270,"1,050,000원",False
39,23/06/14,275,"1,199,000원",False
40,23/06/14,275,"1,070,000원",False
41,23/06/14,275,"1,060,000원",False
42,23/05/09,270,"1,150,000원",False
43,23/05/09,280,"1,229,000원",False
44,23/05/07,265,"1,150,000원",False
45,23/05/03,280,"1,185,000원",False
46,23/04/24,280,"1,300,000원",True
47,23/04/21,275,"1,300,000원",False
48,23/04/18,265,"1,195,000원",False
49,23/04/13,285,"1,349,000원",False
50,23/04/13,270,"1,140,000원",False
51,23/03/31,275,"1,399,000원",True
52,23/03/27,270,"1,140,000원",False
53,23/03/27,260,"1,150,000원",False
54,23/03/27,280,"1,100,000원",False
55,23/03/23,255,"1,300,000원",False
56,23/03/15,275,"1,290,000원",True
57,23/03/08,275,"1,100,000원",False
58,23/03/06,280,"1,100,000원",False
59,23/03/06,270,"1,090,000원",False
60,23/02/18,260,"1,100,000원",False
61,23/02/14,265,"1,299,000원",False
62,23/02/09,265,"1,184,000원",False
63,23/02/03,260,"960,000원",False
64,23/01/31,260,"950,000원",False
65,23/01/20,270,"1,188,000원",False
66,23/01/06,265,"950,000원",False
67,23/01/04,255,"1,100,000원",False
68,22/12/02,280,"1,039,000원",False
69,22/11/28,260,"1,050,000원",True
70,22/11/24,275,"1,210,000원",False
71,22/11/15,260,"950,000원",False
72,22/11/11,240,"2,000,000원",False
73,22/11/09,275,"1,011,000원",False
74,22/11/08,265,"990,000원",False
75,22/11/06,260,"950,000원",False
76,22/11/06,275,"1,100,000원",True
77,22/11/03,280,"1,080,000원",False
78,22/11/03,265,"995,000원",False
79,22/10/30,260,"950,000원",False
80,22/10/28,275,"1,080,000원",False
81,22/10/23,260,"950,000원",False
82,22/10/20,260,"970,000원",True
83,22/10/15,270,"1,200,000원",False
84,22/10/15,260,"1,060,000원",False
85,22/10/04,265,"1,140,000원",False
86,22/10/02,270,"1,050,000원",False
87,22/09/30,260,"950,000원",False
88,22/09/25,275,"1,095,000원",False
89,22/09/21,270,"1,050,000원",False
90,22/09/18,275,"1,080,000원",False
91,22/09/15,265,"1,157,000원",False
92,22/09/11,275,"1,040,000원",False
93,22/09/10,265,"1,150,000원",False
94,22/08/28,270,"1,050,000원",False
95,22/08/25,260,"1,169,000원",False
96,22/08/17,280,"1,060,000원",False
97,22/08/16,285,"1,490,000원",False
98,22/08/10,260,"930,000원",False
99,22/08/10,270,"992,000원",False
100,22/08/09,275,"1,104,000원",False
101,22/08/09,275,"1,090,000원",False
102,22/08/09,275,"1,091,000원",False
103,22/08/06,270,"1,120,000원",False
104,22/08/04,280,"1,160,000원",False
105,22/08/03,270,"1,100,000원",False
106,22/08/03,250,"1,382,000원",False
107,22/08/03,260,"1,135,000원",False
108,22/07/29,270,"1,026,000원",False
109,22/07/28,270,"1,070,000원",False
110,22/07/24,270,"1,138,000원",False
111,22/07/14,280,"1,130,000원",False
112,22/07/14,255,"1,250,000원",False
113,22/07/08,280,"1,150,000원",False
114,22/07/04,275,"1,060,000원",False
115,22/06/29,270,"1,170,000원",False
116,22/06/20,265,"1,220,000원",False
117,22/06/20,265,"1,200,000원",False
118,22/06/18,280,"1,190,000원",False
119,22/06/14,280,"1,150,000원",False
120,22/06/13,265,"1,240,000원",False
121,22/06/13,275,"1,279,000원",False
122,22/06/05,270,"1,042,000원",False
123,22/06/02,280,"1,150,000원",False
124,22/05/29,280,"1,111,000원",False
125,22/05/26,285,"1,480,000원",False
126,22/05/20,255,"1,300,000원",False
127,22/05/18,260,"1,180,000원",False
128,22/05/17,285,"1,480,000원",False
129,22/05/17,265,"1,250,000원",False
130,22/05/10,275,"1,340,000원",False
131,22/05/06,250,"1,500,000원",False
132,22/05/03,280,"1,390,000원",False
133,22/04/26,275,"1,300,000원",False
134,22/04/22,280,"1,390,000원",False
135,22/04/19,265,"1,150,000원",False
136,22/04/18,270,"1,350,000원",False
137,22/04/17,280,"1,250,000원",False
138,22/04/13,275,"1,321,000원",False
139,22/04/13,265,"1,284,000원",False
140,22/04/10,250,"1,650,000원",False
141,22/04/09,275,"1,370,000원",False
142,22/04/08,285,"1,450,000원",False
143,22/04/06,270,"1,280,000원",False
144,22/03/28,260,"1,285,000원",False
145,22/03/24,275,"1,400,000원",False
146,22/03/20,265,"1,270,000원",False
147,22/03/18,255,"1,455,000원",False
148,22/03/16,270,"1,400,000원",False
149,22/03/12,275,"1,370,000원",False
150,22/03/12,270,"1,361,000원",False
151,22/03/10,280,"1,430,000원",False
152,22/03/08,270,"1,362,000원",False
153,22/03/04,255,"1,450,000원",False
154,22/03/02,265,"1,340,000원",False
155,22/03/02,255,"1,286,000원",False
156,22/03/02,265,"1,335,000원",False
157,22/03/02,270,"1,410,000원",False
158,22/02/28,250,"1,800,000원",False
159,22/02/23,260,"1,350,000원",False
160,22/02/21,290,"1,500,000원",False
161,22/02/20,265,"1,350,000원",False
162,22/02/20,275,"1,490,000원",False
163,22/02/18,270,"1,500,000원",False
164,22/02/18,270,"1,550,000원",False
165,22/02/17,260,"1,395,000원",False
166,22/02/16,290,"1,550,000원",False
167,22/02/15,255,"1,430,000원",False
168,22/02/15,270,"1,500,000원",False
169,22/02/14,275,"1,450,000원",False
170,22/02/14,275,"1,400,000원",False
