,거래일,옵션,거래가,빠른배송
0,24/09/28,280,"1,850,000원",False
1,24/09/27,275,"1,550,000원",False
2,24/09/27,260,"1,650,000원",False
3,24/09/24,240,"1,300,000원",False
4,24/09/24,255,"1,500,000원",False
5,24/09/21,265,"1,795,000원",False
6,24/09/18,255,"1,500,000원",False
7,24/09/14,240,"2,000,000원",True
8,24/09/05,275,"1,780,000원",True
9,24/08/30,275,"1,580,000원",False
10,24/08/07,270,"1,482,000원",False
11,24/08/01,270,"1,630,000원",False
12,24/07/31,230,"1,072,000원",False
13,24/07/30,270,"1,470,000원",False
14,24/07/28,275,"1,650,000원",False
15,24/07/27,265,"1,700,000원",False
16,24/07/27,260,"1,570,000원",False
17,24/07/17,275,"1,850,000원",True
18,24/07/17,270,"1,629,000원",False
19,24/07/12,230,"1,320,000원",False
20,24/07/10,270,"1,600,000원",False
21,24/07/09,260,"1,500,000원",False
22,24/07/02,290,"2,000,000원",False
23,24/06/27,275,"1,630,000원",False
24,24/06/27,260,"1,520,000원",False
25,24/06/26,260,"1,530,000원",False
26,24/06/22,275,"1,620,000원",False
27,24/06/17,265,"1,690,000원",False
28,24/06/15,270,"1,630,000원",False
29,24/06/10,270,"1,700,000원",False
30,24/06/10,255,"1,750,000원",False
31,24/06/06,275,"1,780,000원",False
32,24/06/03,300,"2,420,000원",False
33,24/05/27,260,"1,600,000원",False
34,24/05/22,275,"1,610,000원",False
35,24/05/21,230,"1,000,000원",True
36,24/05/14,270,"1,790,000원",False
37,24/05/14,275,"1,690,000원",False
38,24/05/14,280,"1,850,000원",False
39,24/05/14,280,"1,800,000원",False
40,24/05/09,270,"1,850,000원",True
41,24/05/09,260,"1,570,000원",False
42,24/05/03,285,"1,750,000원",False
43,24/04/27,240,"2,303,000원",True
44,24/04/22,275,"1,908,000원",True
45,24/04/20,260,"1,849,000원",True
46,24/04/11,270,"1,800,000원",False
47,24/04/10,230,"1,112,000원",False
48,24/04/06,295,"2,390,000원",False
49,24/04/02,285,"1,849,000원",True
50,24/04/02,280,"1,880,000원",False
51,24/03/27,265,"1,750,000원",False
52,24/03/26,275,"1,672,000원",False
53,24/03/22,250,"2,199,000원",True
54,24/03/21,275,"1,890,000원",False
55,24/03/21,250,"1,820,000원",True
56,24/03/16,230,"1,179,000원",False
57,24/03/14,250,"1,829,000원",False
58,24/03/11,240,"1,240,000원",False
59,24/03/11,260,"1,630,000원",False
60,24/03/06,275,"1,701,000원",False
61,24/03/05,280,"1,890,000원",False
62,24/03/04,230,"1,224,000원",False
63,24/03/04,280,"1,889,000원",False
