,거래일,옵션,거래가,빠른배송
0,24/09/30,ONE SIZE,"336,000원",False
1,24/09/30,ONE SIZE,"336,000원",False
2,24/09/29,ONE SIZE,"336,000원",False
3,24/09/29,ONE SIZE,"335,000원",False
4,24/09/28,ONE SIZE,"333,000원",False
5,24/09/27,ONE SIZE,"335,000원",False
6,24/09/27,ONE SIZE,"331,000원",False
7,24/09/25,ONE SIZE,"380,000원",True
8,24/09/24,ONE SIZE,"341,000원",False
9,24/09/23,ONE SIZE,"344,000원",False
10,24/09/23,ONE SIZE,"379,000원",True
11,24/09/23,ONE SIZE,"344,000원",False
12,24/09/23,ONE SIZE,"345,000원",False
13,24/09/22,ONE SIZE,"345,000원",False
14,24/09/22,ONE SIZE,"342,000원",False
15,24/09/21,ONE SIZE,"342,000원",False
16,24/09/21,ONE SIZE,"344,000원",False
17,24/09/21,ONE SIZE,"344,000원",False
18,24/09/20,ONE SIZE,"345,000원",False
19,24/09/20,ONE SIZE,"345,000원",False
20,24/09/19,ONE SIZE,"345,000원",False
21,24/09/19,ONE SIZE,"347,000원",False
22,24/09/18,ONE SIZE,"342,000원",False
23,24/09/18,ONE SIZE,"340,000원",False
24,24/09/17,ONE SIZE,"340,000원",False
25,24/09/17,ONE SIZE,"339,000원",False
26,24/09/17,ONE SIZE,"339,000원",False
27,24/09/14,ONE SIZE,"378,000원",True
28,24/09/14,ONE SIZE,"300,000원",False
29,24/09/14,ONE SIZE,"339,000원",False
30,24/09/12,ONE SIZE,"339,000원",False
31,24/09/11,ONE SIZE,"334,000원",False
32,24/09/10,ONE SIZE,"333,000원",False
33,24/09/09,ONE SIZE,"325,000원",False
34,24/09/08,ONE SIZE,"325,000원",False
35,24/09/05,ONE SIZE,"325,000원",False
36,24/09/03,ONE SIZE,"325,000원",False
37,24/09/02,ONE SIZE,"324,000원",False
38,24/09/02,ONE SIZE,"324,000원",False
39,24/09/02,ONE SIZE,"324,000원",False
40,24/09/02,ONE SIZE,"378,000원",True
41,24/09/02,ONE SIZE,"350,000원",True
42,24/09/01,ONE SIZE,"323,000원",False
43,24/08/31,ONE SIZE,"323,000원",False
44,24/08/30,ONE SIZE,"323,000원",False
45,24/08/28,ONE SIZE,"324,000원",False
46,24/08/26,ONE SIZE,"324,000원",False
47,24/08/25,ONE SIZE,"324,000원",False
48,24/08/24,ONE SIZE,"324,000원",False
49,24/08/20,ONE SIZE,"323,000원",False
